City,State,Status,GOLF2020Rank,GOLF2022Rank,GOLF2024Rank,GD2018Rank,GD2021Rank,GD2023Rank,GD2025PublicRank,Slope,Year,GD2025Rank,Course,GD2025ShotOptions,GD2025Character,GD2025Challenge,GD2025LayoutVariety,GD2025Fun,GD2025Aesthetics,GD2025Conditioning,GD2021ShotOptions,GD2021Challenge,GD2021LayoutVariety,GD2021Destinctiveness,GD2021Aesthetics,GD2021Conditioning,GD2021Character,GD2021Score,GD2023ShotOptions,GD2023Character,GD2023Challenge,GD2023LayoutVariety,GD2023Fun,GD2023Aesthetics,GD2023Conditioning,GD2023Score
Columbus,OH,Private,NA,73,72,57,68,60,NA,140,1923,82,Scioto Country Club,7.6498,7.79,7.5855,7.5792,7.6595,7.5817,7.8164,7.7067,7.7326,7.6284,7.6694,7.6597,7.9336,7.9764,62.0135,7.6886,7.9532,7.681,7.6428,7.6223,7.6065,7.9886,69.51440000000001
Thermal,CA,Private,NA,NA,87,NA,NA,NA,NA,NA,NA,83,Ladera Golf Club,7.6657,7.6893,7.3841,7.6311,7.7645,7.666,7.8889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield,NJ,Private,99,NA,NA,61,63,80,NA,151,1922,84,Baltusrol Golf Club (Upper),7.5954,7.8658,7.6282,7.5888,7.5253,7.5563,7.8003,7.7001,7.7057,7.6133,7.6047,7.6896,8.0757,8.0702,62.15939999999999,7.5528,7.8479,7.6095,7.5547,7.5231,7.5448,7.8612,68.6015
La Quinta,CA,Private,NA,NA,NA,83,85,91,NA,133,NA,85,The Quarry at La Quinta,7.5029,7.6438,7.2951,7.5252,7.657,7.9096,8.3097,7.4649,7.267,7.5943,7.684,7.9934,8.3049,7.7576,61.53099999999999,7.4682,7.6577,7.3099,7.5061,7.6347,7.8529,8.2108,68.61460000000001
Marshall,IL,Private,NA,NA,NA,63,82,85,NA,149,2004,86,Canyata Golf Club,7.5417,7.6391,7.5911,7.5988,7.561,7.7105,7.9445,7.5667,7.6133,7.5933,7.6824,7.7546,8.0995,7.7156,61.5921,7.5289,7.6762,7.5741,7.5278,7.4755,7.6846,7.9685,68.49230000000001
Oak Brook,IL,Private,NA,NA,NA,45,49,75,NA,152,1974,87,Butler National Golf Club,7.5835,7.6137,8.158,7.4949,7.0987,7.371,7.8627,7.8048,8.2377,7.6332,7.631,7.5168,8.1054,7.8925,62.6262,7.6106,7.6621,8.1833,7.52,7.1079,7.3867,7.8864,68.4876
Croton on Hudson,NY,Private,NA,NA,NA,85,89,88,NA,148,1966,88,Hudson National Golf Club,7.5217,7.6099,7.7236,7.576,7.4078,7.8696,7.7248,7.5282,7.7047,7.5679,7.684,7.882,7.8366,7.7227,61.45429999999999,7.4334,7.5923,7.6494,7.51,7.3853,7.802,7.69,68.00580000000001
Marion,MA,Private,58,65,68,67,77,89,NA,140,NA,89,The Kittansett Club,7.5671,7.8627,7.4963,7.5833,7.635,7.8733,7.5532,7.5286,7.4894,7.6593,7.8664,7.9806,7.6125,8.0251,61.6905,7.5534,7.8689,7.496,7.5805,7.639,7.845,7.5208,68.6375
Edison,NJ,Private,57,69,64,77,75,82,NA,138,1921,90,Plainfield Country Club,7.6263,7.6757,7.6043,7.6492000000000004,7.5564,7.4309,7.823,7.7372,7.6998,7.7206,7.6624,7.5137,7.8639,7.8147,61.749500000000005,7.6461,7.7327,7.603,7.6294,7.535,7.4638,7.7807,68.6662
Hingham,MA,Private,NA,NA,NA,82,84,90,NA,NA,2004,91,Boston Golf Club,7.6316,7.6842,7.6012,7.6406,7.4679,7.6071,7.6284,7.6785,7.633,7.7682,7.7042,7.6593,7.6784,7.7374,61.5375,7.5628,7.6292,7.5379,7.585,7.3824,7.5262,7.5964,67.9677
