City,State,Status,GOLF2020Rank,GOLF2022Rank,GOLF2024Rank,GD2018Rank,GD2021Rank,GD2023Rank,GD2025PublicRank,Slope,Year,GD2025Rank,Course,GD2025ShotOptions,GD2025Character,GD2025Challenge,GD2025LayoutVariety,GD2025Fun,GD2025Aesthetics,GD2025Conditioning,GD2021ShotOptions,GD2021Challenge,GD2021LayoutVariety,GD2021Destinctiveness,GD2021Aesthetics,GD2021Conditioning,GD2021Character,GD2021Score,GD2023ShotOptions,GD2023Character,GD2023Challenge,GD2023LayoutVariety,GD2023Fun,GD2023Aesthetics,GD2023Conditioning,GD2023Score
La Hood,TX,Private,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wolf Point,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ivins,UT,Public,NA,NA,NA,NA,NA,NA,35,NA,2023,NA,Balck Desert Resort,7.1519,7.325,7.1991,7.2322,7.1937,7.6496,7.4069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roanoke,VA,Private,NA,NA,NA,183,175,191,NA,155,2009,NA,Ballyhack Golf Club,NA,NA,NA,NA,NA,NA,NA,7.3424,7.625,7.5029,7.4871,7.3565,7.3323,7.2377,59.226299999999995,7.2574,7.0864,7.5313,7.3319,6.8865,7.1316,7.2662,NA
Williamsburg,VA,Public,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,Golden Horseshoe Golf Club: Golf Course,6.9759,7.0016,6.9589,7.073,7.0321,7.1382,7.0098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hot Springs,VA,Public,NA,NA,NA,142,157,NA,42,137,NA,NA,Omni Homestead (Cascades),7.1562,7.353,7.0184,7.3617,7.1216,7.348,7.0375,7.3423,7.2732,7.5846,7.6366,7.5778,7.2052,7.6127,59.57469999999999,NA,NA,NA,NA,NA,NA,NA,NA
Walla Walla,WA,Public,NA,NA,NA,NA,NA,NA,96,134,NA,NA,Wine Vallley Golf Club,6.9404,6.9073,6.8834,7.002,7.2555,6.9158,7.1118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kohler,WI,Public,NA,NA,NA,NA,NA,NA,92,144,NA,NA,Blackwolf Run (Meadows Valley),6.9306,6.9183,6.9997,6.9688,6.9552,6.8942,7.2065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wauwatosa,WI,Private,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,Blue Mound Golf & Country Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Lake,WI,Public,87,79,89,NA,NA,NA,66,130,NA,NA,Lawsonia (Links),7.1268,7.1649,6.9124,7.174,7.3239,6.988,6.8866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nehoosa,WI,Public,NA,NA,NA,NA,NA,NA,51,NA,2024,NA,Sedge Valley at Sand Valley,7.1668,7.2968,6.7669,7.25,7.4435,7.1362,7.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stevens Point,WI,Public,NA,NA,NA,NA,NA,NA,49,NA,1983,NA,SentryWorld Golf Club,7.1083,6.9378,7.3066,7.2363,6.9707,7.1871,7.4796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheboygan,WI,Public,NA,NA,NA,192,NA,NA,65,146,NA,NA,Whistling Straits (Irish),7.0452,7.1053,7.0995,7.0359,7.1012,7.1605,7.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Sulphur Springs,WV,Public,NA,NA,NA,159,178,NA,39,145,NA,NA,The Greenbrier (Old White TPC),7.2079,7.3546,7.1428,7.2368,7.3211,7.3326,7.3689,7.3236,7.286,7.4278,7.4132,7.4488,7.4694,7.4925,59.1849,NA,NA,NA,NA,NA,NA,NA,NA
